Date,Address,Company,Car Type,"Autonomous engaged (1 = yes, 0 = no)",Time,Weather,Road conditions,Lighting,Unusual Conditions,Stopped/Moving,Other Vehicle,Stopped/moving (Car 2),Damage,Significance,Injury,Expanation,error
8/10/19,"14th St and Noe St, San Francisco, San Francisco, CA, 94114",Cruise,Chevrolet Bolt 2020,1,23:39,Clear,Dry,Dark-Street lights,No,stopped,,moving,minor,human unable to react/anticipate av,,broadside,non av
6/29/19,"Market St and Duboce Ave, San Francisco, San Francisco, CA, 94103",Cruise,Chevrolet Bolt 2020,1,23:49,Clear,Dry,Dark-Street lights,No,moving,,moving,minor,human error,,rear-end,non av
1/8/16,"El Camino Real and Castro St, Mountain View, Santa Clara, CA, 94040",Waymo,Lexus  2011,1,,,,,,moving,,moving,minor,human unable to react/anticipate av,,rear-end,non av
2/14/16,"El Camino Real and Castro St, Mountain View, Santa Clara, CA, 94043",Waymo,Lexus 2012,1,,,,,,moving,,moving,moderate,av fault thought bus would anticipate,,sideswipe,av 
4/7/16,"Bryant St and Oregon Expwy, Palo Alto, Santa Clara, CA, 94301",Waymo,Lexus 2012,1,,,,,,stopped,,moving,none,,,sideswipe,non av
8/16/16,"Phyllis and Grant, Mountain View, Santa Clara, CA, 94040",Waymo,Google 2015,1,,,,,,stopped,,moving,moderate,human unable to react/anticipate av,,rear-end,non av
6/7/17,"Van Ness Ave and O'Farell St, San Francisco, San Francisco, CA, 94109",Cruise,Chevrolet Bolt 2017,1,,,,,,moving,,moving,none,human unable to react/anticipate av,,rear-end,non av
6/26/19,"Pine St and Cameron Hills Dr, Fremont, Alameda, CA, 94539",Pony AI,Lincoln 2018,1,,,,,,moving,,moving,minor,human made aggressive move clipped av,,sideswipe,non av
5/13/19,"Fell St and Fillmore St, San Francisco, San Francisco, CA, 94117",Cruise,Chevrolet Bolt 2019,0,0:32,Clear,Dry,Dark-Street lights,No,moving,,moving,moderate,human didn’t trust av made wrong correction,,broadside,non av
11/10/19,"1499 Vallejo St, San Francisco, San Francisco, CA, 94109",Cruise,Chevrolet Bolt 2020,0,0:55,Clear,Dry,Dark-Street lights,No,stopped,,moving,moderate,,,sideswipe,
4/14/19,"36th Ave and Balboa St, San Francisco, San Francisco, CA, 94121",Cruise,Chevrolet Bolt 2019,0,4:38,Clear,Dry,Dark-Street lights,No,moving,,stopped,moderate,human error,,sideswipe,
7/21/19,"Jackson St and Stockton St, San Francisco, San Francisco, CA, 94133",Cruise,Chevrolet Bolt 2020,0,6:20,Clear,Dry,Daylight,No,moving,,stopped,minor,,,parking,
10/19/18,"El Camino Real and Calderon Ave, Moutain View, Santa Clara, CA, 94041",Waymo,Chrysler Pacifica 2017,0,7:16,Clear,Dry,Daylight,No,moving,,moving,minor,human didn’t trust av made wrong correction,,sideswipe,
6/13/18,"Highway 85, Mountain View, Santa Clara, CA, 94041",Waymo,Chrysler Pacifica 2017,0,7:31,Clear,Dry,Daylight,No,stopped,,N/A,moderate,human error,,other,
